created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2026-05-12T12:18:27+00:00,1,511,0.32479,25.00000,66.90000,,,,
2026-05-12T12:40:05+00:00,2,589,0.27330,25.50000,89.10000,,,,
2026-05-12T13:01:41+00:00,3,627,0.25285,25.50000,91.70000,,,,
2026-05-12T13:23:18+00:00,4,659,0.23747,25.50000,93.00000,,,,
2026-05-12T13:44:54+00:00,5,661,0.23655,25.40000,93.90000,,,,
2026-05-12T14:06:30+00:00,6,671,0.23207,25.40000,94.50000,,,,
2026-05-12T14:28:07+00:00,7,683,0.22687,25.40000,95.00000,,,,
2026-05-12T14:49:43+00:00,8,679,0.22858,25.40000,95.30000,,,,
2026-05-12T15:11:19+00:00,9,677,0.22945,25.40000,95.50000,,,,
2026-05-12T15:32:56+00:00,10,692,0.22309,25.40000,95.70000,,,,
2026-05-12T15:54:33+00:00,11,665,0.23475,25.40000,95.90000,,,,
2026-05-12T16:16:09+00:00,12,658,0.23792,25.40000,96.00000,,,,
2026-05-12T16:37:45+00:00,13,660,0.23701,25.50000,96.00000,,,,
2026-05-12T16:59:22+00:00,14,665,0.23475,25.50000,96.20000,,,,
2026-05-12T17:20:58+00:00,15,668,0.23340,25.50000,96.40000,,,,
2026-05-12T17:42:34+00:00,16,676,0.22988,25.40000,96.40000,,,,
2026-05-12T18:04:11+00:00,17,687,0.22518,25.40000,96.60000,,,,
2026-05-12T18:25:47+00:00,18,691,0.22350,25.40000,96.60000,,,,
2026-05-12T18:47:23+00:00,19,686,0.22560,25.40000,96.70000,,,,
2026-05-12T19:09:00+00:00,20,687,0.22518,25.40000,96.70000,,,,
2026-05-12T19:30:37+00:00,21,695,0.22185,25.40000,96.80000,,,,
2026-05-12T19:52:13+00:00,22,695,0.22185,25.40000,96.80000,,,,
2026-05-12T20:13:49+00:00,23,683,0.22687,25.40000,96.90000,,,,
2026-05-12T20:35:25+00:00,24,681,0.22772,25.50000,96.90000,,,,
2026-05-12T20:57:02+00:00,25,687,0.22518,25.50000,96.90000,,,,
